external_id,urls,global_key
Euq7yrfb8tbDFpd-cv_cpg.jpg,https://labelbox.s3-us-west-2.amazonaws.com/datasets/mapillary_traffic/images/Euq7yrfb8tbDFpd-cv_cpg.jpg,labelpandas-urls-test-Euq7yrfb8tbDFpd-cv_cpg.jpg
gCbn5IeZtE92OaUbyl1ZjQ.jpg,https://labelbox.s3-us-west-2.amazonaws.com/datasets/mapillary_traffic/images/gCbn5IeZtE92OaUbyl1ZjQ.jpg,labelpandas-urls-test-gCbn5IeZtE92OaUbyl1ZjQ.jpg
9Y6-Vl3bwsZFTNxX8gqHYw.jpg,https://labelbox.s3-us-west-2.amazonaws.com/datasets/mapillary_traffic/images/9Y6-Vl3bwsZFTNxX8gqHYw.jpg,labelpandas-urls-test-9Y6-Vl3bwsZFTNxX8gqHYw.jpg
1MnLIosQZmXH3T-iU-4mtQ.jpg,https://labelbox.s3-us-west-2.amazonaws.com/datasets/mapillary_traffic/images/1MnLIosQZmXH3T-iU-4mtQ.jpg,labelpandas-urls-test-1MnLIosQZmXH3T-iU-4mtQ.jpg
y_9N4kVjlc_AO3C63k2L9w.jpg,https://labelbox.s3-us-west-2.amazonaws.com/datasets/mapillary_traffic/images/y_9N4kVjlc_AO3C63k2L9w.jpg,labelpandas-urls-test-y_9N4kVjlc_AO3C63k2L9w.jpg
qm4W6ktKCGR22n21A3o_0A.jpg,https://labelbox.s3-us-west-2.amazonaws.com/datasets/mapillary_traffic/images/qm4W6ktKCGR22n21A3o_0A.jpg,labelpandas-urls-test-qm4W6ktKCGR22n21A3o_0A.jpg
pmkRRbZGfIYr-2YN8gwK2Q.jpg,https://labelbox.s3-us-west-2.amazonaws.com/datasets/mapillary_traffic/images/pmkRRbZGfIYr-2YN8gwK2Q.jpg,labelpandas-urls-test-pmkRRbZGfIYr-2YN8gwK2Q.jpg
2J23mch-V41VdHYVvedGWw.jpg,https://labelbox.s3-us-west-2.amazonaws.com/datasets/mapillary_traffic/images/2J23mch-V41VdHYVvedGWw.jpg,labelpandas-urls-test-2J23mch-V41VdHYVvedGWw.jpg
9GvpiX9gvFLLpzGN5CCcqA.jpg,https://labelbox.s3-us-west-2.amazonaws.com/datasets/mapillary_traffic/images/9GvpiX9gvFLLpzGN5CCcqA.jpg,labelpandas-urls-test-9GvpiX9gvFLLpzGN5CCcqA.jpg
-nvTzJ-2am0mxQPqnZzZBA.jpg,https://labelbox.s3-us-west-2.amazonaws.com/datasets/mapillary_traffic/images/-nvTzJ-2am0mxQPqnZzZBA.jpg,labelpandas-urls-test--nvTzJ-2am0mxQPqnZzZBA.jpg
